label,android.permission.INTERNET,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.READ_CONTACTS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.GET_ACCOUNTS,api_telephony_getDeviceId,api_sms_sendTextMessage,api_crypto_Cipher,api_reflection_Class_forName,api_net_HttpURLConnection,app_size_mb,min_sdk,target_sdk,cert_age_days,is_debuggable,obfuscation_score,background_service_score,network_call_freq,screen_overlay_score,sms_trigger_score
1,1,1,1,1,1,1,0,1,0,1,0.4573,0.5806,0.792,0.4157,0.5526,10.55,19,28,17,1,0.87,0.7603,0.7845,0.8984,0.8037
1,0,1,1,1,1,0,1,0,1,1,0.7565,0.7614,0.7584,0.8231,0.7242,2.06,23,29,25,0,0.93,0.7458,0.9878,0.7585,0.732
1,0,1,1,1,1,1,1,0,1,1,0.9551,0.882,0.968,0.9633,0.7506,6.1,23,29,5,0,0.93,0.6437,0.875,0.778,0.7112
1,1,0,1,1,0,0,1,1,1,1,0.6959,0.6338,0.5856,0.9361,0.8148,14.15,21,30,20,0,0.82,0.9053,0.8131,0.7238,0.6069
1,1,0,1,1,1,1,0,1,0,1,0.9581,0.5016,0.8704,0.5248,0.5132,4.0,21,28,10,0,0.8,0.6476,0.7404,0.6791,0.796
0,1,0,0,0,0,0,0,0,0,0,0.2796,0.0643,0.2817,0.0217,0.1474,98.82,25,33,1067,0,0.04,0.2338,0.1548,0.0541,0.1546
1,1,1,1,0,1,1,1,0,0,1,0.4412,0.9067,0.9918,0.4509,0.4873,7.6,21,28,13,0,0.71,0.9722,0.9711,0.743,0.8102
0,1,0,1,0,0,0,0,0,0,0,0.0185,0.1352,0.1967,0.2818,0.2575,47.26,23,34,1591,0,0.26,0.2455,0.2424,0.2665,0.21
1,1,1,1,0,1,1,1,1,1,0,0.927,0.8746,0.9836,0.4375,0.5036,1.85,23,30,0,0,0.96,0.6426,0.9912,0.8828,0.8836
1,0,1,1,0,1,0,1,0,0,1,0.6524,0.5195,0.764,0.571,0.8457,5.07,23,29,2,0,0.96,0.8357,0.8217,0.7575,0.7884
